126.63 18.36 451.42
55.77 18.86 414.55
87.42 19.63 338.91
139.25 19.92 467.74
33.42 20.12 211.77
118.41 20.68 483.63
147.45 22.00 122.36
70.57 22.70 444.82
41.53 22.84 63.73
85.95 23.72 215.47
132.19 23.90 202.10
31.71 24.23 309.61
40.86 25.15 408.11
189.11 25.53 433.01
194.58 26.38 361.35
151.22 27.07 275.68
114.46 27.70 385.92
164.40 27.70 366.12
50.69 29.55 276.19
166.78 29.78 460.96
102.09 29.85 169.34
128.20 29.90 52.28
28.14 30.36 306.53
159.52 30.46 223.29
105.00 30.58 315.87
185.94 30.59 300.56
48.08 30.96 54.14
109.13 31.09 479.27
75.98 31.41 310.23
53.27 32.49 433.85
66.58 32.81 56.96
23.71 33.07 296.93
183.68 33.65 216.57
151.76 34.35 122.73
72.59 34.54 92.15
45.37 34.68 363.66
165.51 34.81 375.10
190.80 35.56 271.63
158.77 35.63 107.18
175.36 35.74 450.50
108.88 36.16 285.01
143.16 36.91 340.46
89.96 37.12 326.75
33.33 38.11 342.48
30.46 39.34 95.66
129.36 39.71 407.67
161.33 40.21 159.80
181.07 43.45 192.61
26.19 43.86 461.69
113.61 44.14 484.99
127.76 44.45 454.35
28.36 44.56 334.01
20.99 44.63 440.18
74.83 44.98 176.35
179.70 45.54 178.94
84.22 45.86 283.25
72.42 46.05 432.15
134.76 46.87 294.19
197.64 48.73 182.12
76.11 49.70 242.68
68.84 50.88 495.52
121.03 50.92 212.09
52.73 50.94 370.48
169.17 50.94 113.04
191.13 51.09 87.86
147.23 51.55 280.10
78.53 52.32 66.17
35.93 52.95 471.27
159.00 53.23 414.21
158.83 53.93 409.23
37.58 54.56 60.94
114.09 55.75 396.50
78.56 55.87 93.73
175.91 57.29 348.58
55.28 57.60 363.21
39.42 58.55 88.41
74.76 59.79 196.43
130.13 59.99 345.93
58.22 60.02 150.92
151.33 60.50 259.52
55.94 60.54 487.85
117.69 61.44 383.35
112.56 62.76 226.89
53.01 63.32 156.76
31.44 63.62 92.29
24.58 64.13 330.30
97.75 64.41 342.33
45.11 64.60 305.74
96.96 64.65 147.12
148.38 64.66 66.81
156.94 64.82 420.17
48.08 65.19 322.89
194.53 65.23 182.50
79.56 66.08 219.01
169.84 66.34 343.38
84.52 66.71 365.89
193.81 67.03 137.86
41.97 68.05 473.21
99.23 68.53 129.70
127.62 69.25 126.27
