87.42 19.63 338.91
191.13 51.09 87.86
151.76 34.35 122.73
127.76 44.45 454.35
48.08 65.19 322.89
48.08 30.96 54.14
30.46 39.34 95.66
175.91 57.29 348.58
128.20 29.90 52.28
147.45 22.00 122.36
23.71 33.07 296.93
194.58 26.38 361.35
169.84 66.34 343.38
58.22 60.02 150.92
52.73 50.94 370.48
53.01 63.32 156.76
74.76 59.79 196.43
114.46 27.70 385.92
97.75 64.41 342.33
72.42 46.05 432.15
130.13 59.99 345.93
45.11 64.60 305.74
72.59 34.54 92.15
85.95 23.72 215.47
102.09 29.85 169.34
161.33 40.21 159.80
55.94 60.54 487.85
112.56 62.76 226.89
126.63 18.36 451.42
28.36 44.56 334.01
129.36 39.71 407.67
50.69 29.55 276.19
31.71 24.23 309.61
190.80 35.56 271.63
193.81 67.03 137.86
165.51 34.81 375.10
74.83 44.98 176.35
37.58 54.56 60.94
143.16 36.91 340.46
99.23 68.53 129.70
41.97 68.05 473.21
109.13 31.09 479.27
26.19 43.86 461.69
183.68 33.65 216.57
66.58 32.81 56.96
139.25 19.92 467.74
76.11 49.70 242.68
113.61 44.14 484.99
118.41 20.68 483.63
53.27 32.49 433.85
194.53 65.23 182.50
159.52 30.46 223.29
189.11 25.53 433.01
181.07 43.45 192.61
127.62 69.25 126.27
185.94 30.59 300.56
35.93 52.95 471.27
55.28 57.60 363.21
28.14 30.36 306.53
78.56 55.87 93.73
89.96 37.12 326.75
68.84 50.88 495.52
169.17 50.94 113.04
84.22 45.86 283.25
70.57 22.70 444.82
117.69 61.44 383.35
45.37 34.68 363.66
164.40 27.70 366.12
33.42 20.12 211.77
197.64 48.73 182.12
159.00 53.23 414.21
55.77 18.86 414.55
20.99 44.63 440.18
166.78 29.78 460.96
147.23 51.55 280.10
151.22 27.07 275.68
158.83 53.93 409.23
33.33 38.11 342.48
84.52 66.71 365.89
40.86 25.15 408.11
175.36 35.74 450.50
132.19 23.90 202.10
79.56 66.08 219.01
31.44 63.62 92.29
75.98 31.41 310.23
78.53 52.32 66.17
151.33 60.50 259.52
134.76 46.87 294.19
179.70 45.54 178.94
105.00 30.58 315.87
41.53 22.84 63.73
148.38 64.66 66.81
156.94 64.82 420.17
121.03 50.92 212.09
158.77 35.63 107.18
108.88 36.16 285.01
114.09 55.75 396.50
96.96 64.65 147.12
24.58 64.13 330.30
39.42 58.55 88.41
